2L	11345	11409	2	2	1	20	0	46
2L	11519	11778	2	2	1	39	0	49
2L	12222	12285	2	2	1	25	0	43
2L	12929	13519	2	2	1	29	0	49
2L	13626	13682	2	2	1	33	0	46
2L	14875	14932	2	2	1	35	0	49
2L	15712	17052	2	2	1	22	2	49
2L	15712	19879	2	2	1	0	1	5
2L	17208	19879	2	2	0	1	0	49
2L	17213	18260	2	2	1	6	0	47
2L	17213	18330	2	2	0	0	1	15
2L	17213	19879	2	2	1	7	0	49
2L	17213	21135	2	2	1	0	1	15
2L	18169	18260	2	2	1	1	0	42
2L	18194	18260	2	2	0	0	1	45
2L	18194	21065	2	2	0	0	1	45
2L	20021	21065	2	2	1	6	0	47
2L	20999	21065	2	2	0	0	1	45
2L	22688	22742	2	2	1	1	0	10
2L	22936	22993	2	2	1	2	0	49
2L	22942	22997	1	1	1	5	0	35
2L	23423	23569	1	1	0	1	0	28
2L	23423	64237	1	1	0	1	0	35
2L	26689	26765	2	2	1	46	0	50
2L	26778	26828	2	2	0	1	0	12
2L	26965	27052	2	2	1	52	0	50
2L	27491	28014	2	2	1	31	2	48
2L	27491	28410	2	2	1	3	2	34
2L	28139	28410	2	2	0	1	0	35
2L	28241	28410	2	2	0	3	0	27
2L	28241	28732	2	2	1	18	0	50
2L	28640	28732	2	2	1	4	0	46
2L	28818	28872	2	2	0	1	0	35
2L	28927	28981	2	2	1	42	0	49
2L	29069	30393	2	2	1	19	0	45
2L	29069	33844	2	2	1	4	0	41
2L	29069	34557	2	2	1	2	0	49
2L	30486	30547	2	2	0	1	0	36
2L	33271	33844	2	2	1	6	0	49
2L	33271	34557	2	2	1	6	0	44
2L	34289	34557	2	2	1	18	0	49
2L	34605	34719	2	2	1	36	0	47
2L	34913	38534	2	2	0	4	0	50
2L	35152	38534	2	2	0	1	0	45
2L	35213	38534	2	2	1	6	0	47
2L	38299	38534	2	2	1	2	0	43
2L	38714	39300	2	2	0	1	0	44
2L	38732	39300	2	2	1	22	0	47
2L	39858	58080	2	2	1	19	0	48
2L	39858	65345	2	2	0	1	0	38
2L	39858	73754	2	2	0	1	0	38
2L	40184	40253	2	2	0	2	0	33
2L	58177	59189	2	2	1	1	0	22
2L	58183	58248	2	2	1	4	0	43
2L	58183	58958	2	2	1	2	0	9
2L	58183	59189	2	2	1	11	0	44
2L	58183	59693	2	2	0	1	0	46
2L	58183	65345	2	2	1	8	0	42
2L	58183	73451	2	2	0	2	0	43
2L	65407	66690	2	2	0	1	0	41
2L	65411	66681	2	2	0	1	0	31
2L	65411	73754	2	2	0	1	0	42
2L	66613	66675	1	1	1	7	0	46
2L	67112	67388	1	1	1	1	0	27
2L	67112	67568	1	1	0	1	0	31
2L	67138	67388	1	1	1	1	0	28
2L	67508	67568	1	1	1	10	0	41
2L	67763	67891	1	1	1	22	0	50
2L	67763	67895	1	1	0	1	0	43
2L	68024	68084	1	1	1	34	0	50
2L	70550	70606	1	1	1	28	0	50
2L	71805	71914	1	1	0	1	0	27
2L	71805	71924	1	1	0	1	0	17
2L	71805	71949	1	1	1	6	0	50
2L	71805	74902	1	1	0	1	0	36
2L	72082	74902	1	1	1	13	0	49
